term1;term2;error_degree;weight;eq_id;eq_size;community
116661967;http://af.dbpedia.org/resource/Barack_Obama;http://io.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661968;http://af.dbpedia.org/resource/Barack_Obama;http://is.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661969;http://af.dbpedia.org/resource/Barack_Obama;http://it.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661970;http://af.dbpedia.org/resource/Barack_Obama;http://ja.dbpedia.org/resource/バラク・オバマ;0.24;2;5723;14916;0
116661971;http://af.dbpedia.org/resource/Barack_Obama;http://jv.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661972;http://af.dbpedia.org/resource/Barack_Obama;http://ka.dbpedia.org/resource/ბარაკ_ობამა;0.24;2;5723;14916;0
116661973;http://af.dbpedia.org/resource/Barack_Obama;http://kk.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116661974;http://af.dbpedia.org/resource/Barack_Obama;http://kn.dbpedia.org/resource/ಬರಾಕ್_ಒಬಾಮ;0.24;2;5723;14916;0
116661975;http://af.dbpedia.org/resource/Barack_Obama;http://ko.dbpedia.org/resource/버락_오바마;0.24;2;5723;14916;0
116661976;http://af.dbpedia.org/resource/Barack_Obama;http://ku.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661977;http://af.dbpedia.org/resource/Barack_Obama;http://ky.dbpedia.org/resource/Барак_Хусеин_Обама;0.24;2;5723;14916;0
116661978;http://af.dbpedia.org/resource/Barack_Obama;http://la.dbpedia.org/resource/Baracus_Obama;0.24;2;5723;14916;0
116661979;http://af.dbpedia.org/resource/Barack_Obama;http://lb.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661980;http://af.dbpedia.org/resource/Barack_Obama;http://lmo.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661981;http://af.dbpedia.org/resource/Barack_Obama;http://lt.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661982;http://af.dbpedia.org/resource/Barack_Obama;http://lv.dbpedia.org/resource/Baraks_Obama;0.24;2;5723;14916;0
116661983;http://af.dbpedia.org/resource/Barack_Obama;http://map-bms.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661984;http://af.dbpedia.org/resource/Barack_Obama;http://mg.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661985;http://af.dbpedia.org/resource/Barack_Obama;http://mk.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116661986;http://af.dbpedia.org/resource/Barack_Obama;http://ml.dbpedia.org/resource/ബറാക്ക്_ഒബാമ;0.24;2;5723;14916;0
116661987;http://af.dbpedia.org/resource/Barack_Obama;http://mr.dbpedia.org/resource/बराक_ओबामा;0.24;2;5723;14916;0
116661988;http://af.dbpedia.org/resource/Barack_Obama;http://ms.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661989;http://af.dbpedia.org/resource/Barack_Obama;http://my.dbpedia.org/resource/ဘာရက်_အိုဘားမား;0.24;2;5723;14916;0
116661990;http://af.dbpedia.org/resource/Barack_Obama;http://my.dbpedia.org/resource/ဘာရတ်အိုဘားမား;0.24;2;5723;14916;0
116661991;http://af.dbpedia.org/resource/Barack_Obama;http://mzn.dbpedia.org/resource/باراک_اوباما;0.24;2;5723;14916;0
116661992;http://af.dbpedia.org/resource/Barack_Obama;http://nap.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661993;http://af.dbpedia.org/resource/Barack_Obama;http://nds.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661994;http://af.dbpedia.org/resource/Barack_Obama;http://ne.dbpedia.org/resource/बाराक_ओबामा;0.24;2;5723;14916;0
116661995;http://af.dbpedia.org/resource/Barack_Obama;http://nl.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661996;http://af.dbpedia.org/resource/Barack_Obama;http://nn.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661997;http://af.dbpedia.org/resource/Barack_Obama;http://no.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661998;http://af.dbpedia.org/resource/Barack_Obama;http://oc.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661999;http://af.dbpedia.org/resource/Barack_Obama;http://pl.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662000;http://af.dbpedia.org/resource/Barack_Obama;http://pms.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662001;http://af.dbpedia.org/resource/Barack_Obama;http://pnb.dbpedia.org/resource/بارک_اوبامہ;0.24;2;5723;14916;0
116662002;http://af.dbpedia.org/resource/Barack_Obama;http://pt.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662003;http://af.dbpedia.org/resource/Barack_Obama;http://qu.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662004;http://af.dbpedia.org/resource/Barack_Obama;http://ro.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662005;http://af.dbpedia.org/resource/Barack_Obama;http://ru.dbpedia.org/resource/Обама,_Барак;0.24;2;5723;14916;0
116662006;http://af.dbpedia.org/resource/Barack_Obama;http://scn.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662007;http://af.dbpedia.org/resource/Barack_Obama;http://sco.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662008;http://af.dbpedia.org/resource/Barack_Obama;http://sh.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662009;http://af.dbpedia.org/resource/Barack_Obama;http://simple.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662010;http://af.dbpedia.org/resource/Barack_Obama;http://sk.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662011;http://af.dbpedia.org/resource/Barack_Obama;http://sl.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662012;http://af.dbpedia.org/resource/Barack_Obama;http://sq.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662013;http://af.dbpedia.org/resource/Barack_Obama;http://sr.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116662014;http://af.dbpedia.org/resource/Barack_Obama;http://su.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662015;http://af.dbpedia.org/resource/Barack_Obama;http://sv.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662016;http://af.dbpedia.org/resource/Barack_Obama;http://sw.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662017;http://af.dbpedia.org/resource/Barack_Obama;http://ta.dbpedia.org/resource/பராக்_ஒபாமா;0.24;2;5723;14916;0
