new_eq_id;term
5698081;http://uz.dbpedia.org/resource/Barack_Obama
5698081;http://vec.dbpedia.org/resource/Barack_Obama
5698081;http://vi.dbpedia.org/resource/Barack_Obama
5698081;http://wa.dbpedia.org/resource/Barack_Obama
5698081;http://war.dbpedia.org/resource/Barack_Obama
5698081;http://www.wikidata.org/entity/Q13202704
5698081;http://www.wikidata.org/entity/Q76
5698081;http://yi.dbpedia.org/resource/באראק_אבאמא
5698081;http://yo.dbpedia.org/resource/Barack_Obama
5698081;http://zh-min-nan.dbpedia.org/resource/Barack_Obama
5698081;http://zh-yue.dbpedia.org/resource/奧巴馬
5698081;http://zh.dbpedia.org/resource/贝拉克·奥巴马
